word,common_mean,pronunciation,more_mean,definition,synonyms,example
STEAMER,জাহাজ,Jāhāja,"[ ]{ স্টীমার: steamer; বাষ্পচালিত জলযান: steamer; } [noun]{ জাহাজ: ship, vessel, ark, boat, steamer, keel; স্টীমার্: steamer; বাষ্পোতপাদক: steamer; বাষ্পীয় পোত: steamer; ","[noun]{ 1: a ship, boat, or locomotive powered by steam. (There were fast new attack transports, slow rust-scarred freighters, small ocean liners, Channel steamers , hospital ships, weather-beaten tankers, coaster and swarms of fussing tugs.) 2: a type of saucepan in which food can be steamed. (Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.) 3: a wetsuit. (But next time I will bring a thicker wetsuit; a 5mm steamer would be about right for the deeper dives.) }","[noun]{ soft-shell clam, steamship}","To cook, place the chicken and its marinade in a large steamer over simmering water, and steam for 20 minutes or until cooked through.; Lay the prepared fish in a shallow, heatproof dish that will sit comfortably in your steamer .; She sank in 1942 on top of the wreck of the Montana, a paddle-wheel steamer that went down on the reefs in 1893.; Place the ramekins in the prepared steamer and cook until set, about 20 minutes.; Placing the assembly on the stove and the lid on the steamer , she checked the kitchen clock, shrugged, and turned the flame to ‘Medium’.; It might also have the effect of keeping the passage clearer by the more frequent stirring and movement of powerful steamers towing flotillas of keels and lighters.; Perhaps in preparation for a forced career change, Hayden brought with him a camping stove, frying pan, wok, bamboo steamer and food processor.; Great Lakes started off with a floating awards banquet, as guests boarded a paddlewheel steamer for dinner and a cruise on the Illinois River.; In 1909, another leg was added to the jetty, to facilitate a railway line for the loading of timber onto steamers and tall sailing ships.; Sailing ships, and later steamers , played a vital part in South Australia's History.; Piers were built to serve sailing vessels and steamers from across the bay.; It is clearly time that the Lake Management planned for size regulations designed differentially for private vessels and those steamers commercially carrying passengers around the lake.; Close the shells and pack the mussels tightly into a steamer , or a colander placed in a pan with a little water.; You could try to change little things that make her fat: is there a certain snack she won't stop eating or maybe a frying pan that needs to be swapped for a steamer ?; Most of the damage was to the older ships, from galleys to galleons and frigates to pre-dreadnaught steamers .; 4 Fit the steamer over the pan of simmering water, cover and cook the fish fillets for 4-6 minutes.; Each ship had a commanding officer, but the commanders of the sailing ships were senior to those of the steamers so that they could direct the operations of their respective tenders.; Pat the fish dry and arrange it on a lightly oiled heatproof plate or bowl that will fit into your steamer .; Serving on sweltering ironclads and steamers or on marginally seaworthy vessels required increased attention to medical care, nutrition, and morale for volunteer citizen-sailors.; Put the Christmas pudding in the steamer , cover and leave to steam away until 2.15 pm. You'll need to check the water from time to time and maybe top it up a bit.; For the verbena infusion: In a large, covered pot, line a steamer with parchment paper that has been slashed to make small vents.; Figureheads were used to add a decorative flourish and prestige to ships and steamers in an age when the vessels were the quickest and most comfortable mode of transport.; For the cinnamon bread: Prepare a hot steamer and pre-heat a deep fryer to 375 degrees.; The whole thing was cooked into a sort of cake in the steamer .; Place the prepared sweet potato in a steamer and cook until tender, about ten minutes.; At a distance they look kind of like wetsuits, steamers , but what do they look and feel like up close?; The rattle of a pudding bowl in the steamer ensures that, two hours later, you have a glorious coconut and jam sponge pudding that evokes childhood.; Cook in a steamer until tender, adding the extra half cup of sherry to the liquid in the pan underneath for added moisture.; It has been an excursion steamer and a floating restaurant. It often stops at the Essex coast but has never before called at Maldon.; Most of launches, steamers and other vessels lack mechanical steering and still have manual steering systems that are a century old."
SPOT DYEING,স্পট ডাইভিং,Spaṭa ḍā'ibhiṁ,None,None,None,None
SONGWRITERS,সংগীতকার,Saṅgītakāra,None,[noun]{ 1: a person who writes popular songs or the music for them. (One of the greatest mysteries in the music business is how songwriters get their songs recorded.) },[noun]{ },None
STEEL-TOPPED,ইস্পাতের,Ispātēra śīrṣasthānē,None,None,None,None
STRONG HEAT,শক্ত হিট,Śakta hiṭa,"[noun]{ ঝাঁজ: strong heat, acridity; ঝাঁঝ: cymbals, strong heat, acridity; ",None,None,None
SLIPPAGE,স্লিপেজ,Slipēja,None,[noun]{ 1: the action or process of something slipping or subsiding; the amount or extent of this. ($16 million has been spent on cracks and slippage) },None,"In a shower, be sure to have a bath mat to prevent slippage .; It is estimated a further £30 million will be needed to prevent further slippages along the entirety of the seafront.; If further slippages occur in November and December, it would be a cause for attention.; However, if changes, created either by slippages or by nucleotide substitutions, were seen in the sequence included in any of the indels, then the number of such changes was also counted and included in the analysis.; But there was still no sign of slippage last night.; The slippage caused physical damage, delays, and consequential losses, and necessitated extensive remedial works.; There are other signs of slippage in anti-tobacco efforts.; But these are all slippages easily repaired with firm editorial control’.; This process is called mitotic slippage and yields tetraploid 4N cells.; These included streamlining training practices and eliminating slippages in deliveries.; £16 million has been spent on cracks and slippage; The experience of defence equipment procurement in the UK since the second world war is a story liberally strewn with cost overruns and timetable slippages , often on a massive scale.; No matter how thin the grates, major slippage is bound to occur.; But in recent years there's been serious slippage , enough to call a trend.; So there has understandably been some slippage , but so far the American people generally, unlike the press, aren't panicking.; The New Walton Pier Company, which owns the site, told hut owners their huts would have to be removed for urgent safety work to be carried out due to land slippage .; On the timing of the move, a degree of slippage from the original end - 1996 target date originally set by McCreevy is hinted at.; He didn't have any advice for keeping the feathers equally spread throughout the quilt all night though, apparently even those quilted into squares suffer from feather slippage .; And despite regular grumbling from consumers about slippage in quality, more and more people are flying all the time.; The slippage has worried residents in the suburb, where more than 100 homes were inundated in the floods of November, 2000.; There is a strong emphasis on low direct tax rates and, notwithstanding a couple of years of slippage , firm control over government spending.; Microsatellite lengths change over evolutionary time through a process of replication slippage .; The plan also involves strengthening measures for the bank, which slopes down to Markievicz Road, where there has been slippage .; Any slippage in tax collections can worsen the situation.; Despite the concerns, however, some stockbrokers have been advising clients to take advantage of the recent slippage in share prices to add to existing holdings.; This suggests that some process other than enzyme slippage is contributing to the high level of diversity in this region.; Any further slippage of the fiscal deficit in the medium term could lower the nation's stable credit outlook.; We can only estimate the relative expansion slippage rates and contraction slippage rates compared to the point mutation rate.; The registration process creates slippage : each of the four colors, plus black, are printed over one another.; Well, at this point they're succeeding pretty well, because we have not seen any slippage on the part of the Democrats."
SMILE UPON,স্মাইল আপন,Smā'ila āpana,"[verb]{ অনুগ্রহ করা: favor, smile on, smile upon, befriend, benefit, oblige; ",None,None,None
SUB-INSPECTOR,দারোগা,Dārōgā,"[ ]{ অবরপরিদর্শক: sub-inspector; } [noun]{ দারোগা: inspector, sub-inspector, assistant sub-inspector; ",None,None,None
SOFTEN,গলা,Galā,"[verb]{ গলা: soften, thaw, melt, fuse, pass, decompose; গলান: flux, thaw, soften, melt, fuse, decompose; নরম করা: soften, milden, gentle, mollify, attenuate; তরল করা: liquefy, make fluid, dilute, water down, melt, soften; মন গলা: soften; } [ ]{ কোমল: soften, velvety, Gentle, lily, womanish, pulpy; মৃদু: Gentle, kindly, low-pitched, soften; ",[verb]{ 1: make or become less hard. (plant extracts to soften and moisturize the skin) 2: make or become less severe. (some Democrats tried to soften the blow by substituting a smaller cut in the property tax rate) 3: remove mineral salts from (water). (Observations have shown increased copper levels in water softened with ion exchange water softeners.) },"[verb]{ alleviate, ease, relieve, soothe, take the edge off, assuage, cushion, moderate, mitigate, palliate, diminish, blunt, deaden, die down, abate, subside, moderate, let up, calm, diminish, slacken, weaken, yield, relent, buffer, cushion, damp, weaken, break, dampen, mince, moderate}","Soak these leaves for five minutes in hot water to soften them.; But what you should try and find out about is what kind of agents have been added to harden or soften the tap water, as it affects the taste.; Harriette's expression of resolve softened , and she reached out and cupped Marguerite's chin in a motherly fashion.; Affection for my sister softened me and my shoulders slumped.; Residues from fabric softeners , as well as the fragrances commonly used in them, can be irritating to susceptible people.; Jessica's stony expression softens and she stares at the ground for a moment.; sales could soften if the economy turns down; Meanwhile, he'll dip the bun in water, letting it soften before consuming it.; Watch it carefully to see when it begins to soften , then immediately remove the heat and scrape the adhesive off with a putty knife.; These are products which can prevent drying of the skin, thereby moisturizing and softening the skin.; some Democrats tried to soften the blow by substituting a smaller cut in the property tax rate; I have a feeling they will try and soften us up with artillery before they attack again.; If the chocolate starts to firm, soften over the heated water again.; Hard water can be softened using an ion exchange softening process.; ‘We couldn't leave,’ explained Taiyo, her voice softening and her expression falling.; Maura's expression softened as she leaned closer to him.; For a natural fabric softener , soak garments overnight in a solution of one part vinegar to three parts water, then rinse well in clear water before washing.; Observations have shown increased copper levels in water softened with ion exchange water softeners.; plant extracts to soften and moisturize the skin; He simply figured their time apart had softened her a little.; He also looked exceedingly miserable, an expression which softened only in the slightest at the sight of the coffee.; Despite his ill temper, however, every day that he spends in the calm atmosphere of the peaceful village seems to soften him.; Something sharp and dangerous transformed his face, his expression going from that of a parent trying to soften a blow to a dark anger.; This altruism softened the character enough to make him watchable, but he remained someone you would never wish to meet.; His expression softened and his hand was still extended to her, ‘My name's Adam.’; The combination lets people have it both ways: The foam keeps the cushion upright and helps it hold its shape, while the down makes a comfortable seat and softens the severe line of the foam.; Sodium hydroxide is a caustic type of chemical that actually softens hair fibers.; the blockade appears a better weapon with which to soften them up for eventual surrender; It offers a rich, creamy lather that will invigorate, moisturize and soften your hair.; If you are using leaf gelatin, put the sheets in cold water to soften ."
STODGE,None,None,None,None,None,None
